年月,收入,支出,月余额
2020-01,9728,4087,5641
2020-02,6907,2459,4448
2020-03,9364,5424,3940
2020-04,9162,2238,6924
2020-05,5272,4004,1268
2020-06,8199,2966,5233
2020-07,9296,4024,5272
2020-08,5110,4221,889
2020-09,6441,5786,655
2020-10,6559,5478,1081
2020-11,5167,4624,543
2020-12,9662,2795,6867
2021-01,7571,3502,4069
2021-02,5313,4264,1049
2021-03,5468,3845,1623
2021-04,5274,3582,1692
2021-05,9545,5908,3637
2021-06,8500,4945,3555
2021-07,5700,4492,1208
2021-08,6541,2199,4342
2021-09,6884,3819,3065
2021-10,8772,3419,5353
2021-11,8415,4746,3669
2021-12,6416,2767,3649
2022-01,7237,4003,3234
2022-02,9159,2406,6753
2022-03,6719,5903,816
2022-04,7213,5047,2166
2022-05,7347,4920,2427
2022-06,7762,3243,4519
2022-07,8364,2346,6018
2022-08,7121,5142,1979
2022-09,7912,3726,4186
2022-10,6004,4461,1543
2022-11,8007,4104,3903
2022-12,7605,5151,2454
